Name,Rating,Number of Reviews,Price,Link
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",4.7 out of 5 stars,51,"1,900",
,,,,
,,,,
,,,,
,,,,
,,,,
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",4.2 out of 5 stars.,"15,926",149.,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxNDc3NjE0OTY4MDU3NzE5OjE2ODUwOTAyMzk6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090239%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",4.2 out of 5 stars.,"15,926",149.,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxNDc3NjE0OTY4MDU3NzE5OjE2ODUwOTAyMzk6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090239%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",3.9 out of 5 stars,"15,926",529,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxNDc3NjE0OTY4MDU3NzE5OjE2ODUwOTAyMzk6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090239%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
,3.9 out of 5 stars,"15,926",529,
,3.9 out of 5 stars,"15,926",529,
Red Lemon BANGE Multifunctional Waterproof Anti-Thief Sling Bag with USB Charging (Camo),4.3 out of 5 stars,145,"1,899",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxNDc3NjE0OTY4MDU3NzE5OjE2ODUwOTAyMzk6c3BfYXRmX25leHQ6MjAxMTY4NzkxNzM4OTg6OjA6Og&url=%2FRed-Lemon-Multifunctional-Waterproof-Anti-Thief%2Fdp%2FB0B12VQFVC%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090239%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
,4.3 out of 5 stars,145,"1,899",
,4.3 out of 5 stars,145,"1,899",
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),3.8 out of 5 stars,141,599,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-19
,3.8 out of 5 stars,141,599,
,3.8 out of 5 stars,141,599,
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),4.3 out of 5 stars,"5,589","1,099",https://www.amazon.in//Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-20
,4.3 out of 5 stars,"5,589","1,099",
,4.3 out of 5 stars,"5,589","1,099",
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",4.4 out of 5 stars,"3,042",649,https://www.amazon.in//Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-21
,4.4 out of 5 stars,"3,042",649,
,4.4 out of 5 stars,"3,042",649,
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,4.0 out of 5 stars,"7,626","1,199",https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-22
,4.0 out of 5 stars,"7,626","1,199",
,4.0 out of 5 stars,"7,626","1,199",
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,3.7 out of 5 stars,"6,447",199,https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-23
,3.7 out of 5 stars,"6,447",199,
,3.7 out of 5 stars,"6,447",199,
